NO,개최년도,무역관,지속선정여부,전시회명(영문),전시회명(국문),전시회명(약),개최시작일자,개최종료일자,개최미정여부,모집시작일자,모집종료일자,국가,도시,개최유형,전시장,전시회 설명,전시회 특징,전시품목,개최규모,개최규모단위,산업분야,비고(전시회 신청정보),유관기관 지원 전시회 여부,s,월
1,2027,북미지역본부 애틀랜타무역관,N,2027 CPNA- COSMOPROF NORTH AMERICA,2027 미국 마이애미 코스모프로프 뷰티 전시회,CPNA- COSMOPROF NORTH AMERICA ,2027-01-01,2027-01-31,Y,,,미국,마이애미,오프라인,Miami Beach Convention Center,"뷰티 스킨 케어, 헤어 케어, 네일 케어, 세면도구, 향수, 유기농 미용 제품, 액세서리 분야의 소매 및 유통을 위한 비즈니스 기회를 창출할 수 있는 미주 지역 최고의 B2B 뷰티 무역 박람회.",,"뷰티 스킨 케어, 헤어 케어, 네일 케어, 세면도구, 향수, 유기농 미용 제품, 액세서리 분야",2000000,sqft (ft²),"뷰티&미용용품, 패션&섬유","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



2026년도 전시회는 아직 개최되지 않아 주최 측에서 공식 성과 자료를 비공개함. 다만, 2025년도 기준 전체 참관객 수는 약 19,000명, 참가업체 수는 약 900개사, 참가국 수는 115개국임.",N,2027-01-01,1
2,2027,북미지역본부 뉴욕무역관,N,Luxe Pack New York,2027 미국 뉴욕 포장재 전시회,,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"매년 뉴욕에서 개최되는 국제 럭셔리 패키징 B2B 행사 전시회로 제품 패키징 및 브랜딩 관련 산업 업체와 전문가들이 참가하며 전시회를 통해 럭셔리 브랜드, 화장품, 향수, 음료, 식품, 의료, 디자인 및 기타 관련 산업의 최신 패키징 트렌드와 기술을 확인하고 비즈니스 네트워킹 및 협력 기회를 경험 할 수 있음",,"포장재료, 포장기술, 포장 장비, 등",150000,sqft (ft²),"패션&섬유, 문구&선물","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-01,1
3,2027,북미지역본부 뉴욕무역관,N,Interfiliere NY,2027 미국 뉴욕 수영복 및 란제리 전시회 [Interfiliere NY],,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Metropolitan Pavilion in New York,"Interfilière New York는 북미 란제리, 스윔웨어, 액티브웨어 산업을 위한 대표적인 원부자재·소싱 전문 전시회로, 원단·부자재 공급업체와 패션 브랜드, 디자이너, 소싱 담당자를 연결하는 B2B 행사이다.",,"란제리·스윔웨어·액티브웨어, 액세서리 등",150000,sqft (ft²),패션&섬유,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-01,1
8,2027,북미지역본부 뉴욕무역관,N,SPIN EXPO,2027 미국 뉴욕 스핀 전시회 [SPIN],SPIN,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Metropolitan Pavilian,"미국 원사 직물 및 편직 전문 B2B 박람회로서 원사, 섬유(양말, 끈, 라벨 및 기술섬유) 및 니트(직물과 실내 장식) 산업을 주도적으로 이끄는 섬유 전문가들이 참가하는 업계 최고의 전시회",,"니트 직물(의류, 속옷), 원형 니트 (의류, 양말), 직물 (의류 직물), 양말/장갑/모자, 레이스/리본/자수",150000,sqft (ft²),패션&섬유,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-01,1
9,2027,북미지역본부 뉴욕무역관,N,Small Business Expo,2027 미국 뉴욕 중소기업 전시회 [SBE],SBE 추가요망,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"매년 필라델피아, 라스베가스, 마이애미, 뉴욕 등 미국의 여러 도시에서 진행되는 중소기업 전문 전시회로 소규모 비즈니스 관련 다양한 상품과 서비스가 전시되며 소규모 비즈니스를 운영하거나 창업을 고려하는 사람들에게 유익한 정보와 네트워킹 및 비즈니스 기회를 제공함. 대규모 네트워킹 및 교육 행사인 만큼 세미나, 교육 세션 및 워크숍 등 비즈니스 운영에 필요한 전략, 마케팅, 재무 관리 등 다양한 주제를 다루는 프로그램이 마련됨",,"기술 제품(소프트웨어, IT 솔루션 등), 마케팅 서비스, 비지니스 컨설팅, 결제 시스템 등 소규모 비즈니스를 위한 다양한 제품 및 서비스",150000,sqft (ft²),"금융&비즈니스서비스, 레저&관광, 건강&스포츠, 생활용품&가구","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있음",N,2027-01-01,1
10,2027,북미지역본부 뉴욕무역관,N,The Prego Expo,2027 미국 뉴욕 프레고 전시회 [The Prego Expo],The Prego Expo,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Metropolitan Pavilian,"부모 및 예비 출산 가족을 위한 전시회로 다양한 업계 전문가와 업체들이 참가해 유아용품, 임산부 의류, 관련 의료 서비스, 보육 서비스 등의 제품과 서비스를 소개하고, 전시 외에도 산전 관리, 모유 수유, 신생아 필수품 및 육아 팁과 같은 다양한 주제에 대해 전문가가 진행하는 세미나 및 워크숍 또한 제공됨",,임신 및 육아와 관련된 제품,150000,sqft (ft²),유아·아동&교육&임산부,"★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-01,1
11,2027,북미지역본부 뉴욕무역관,N,Coterie New York,2027 미국 뉴욕 춘계 패션 코테리 전시회,,2027-01-01,2027-01-31,Y,,,미국,뉴욕,오프라인,Jacob K. Javits Convention Center,"미국 뉴욕 코트리 국제패션박람회는 세계 1위 전시주최기업인 Informa가 개최하는 세계 최대 규모의 여성럭셔리패션 전문전시회로 주최측의 엄격한 사전 심사과정을 통해 선별된 브랜드들만이 출품이 가능함. 선발과정이 매우 업격하고 권위가 있어 미국의 주요백화점들에 입점시에 각 백화점들은 코트리 참가실적들을 중요하게 평가함. 전체 방문 바이어들 중 80% 이상이 백화점, 셀렉샵, 온라인 쇼핑몰, 쇼룸 등 실질적인 패션 유통전문 바이어들로 전시회 주최측이 등급별로 관리 및 초청하는 VIBR(Very Important Buyer Relationship) 프로그램을 운영하고 있으며, 실질적인 거래 및 비즈니스 환경을 제공하기위해 다양한 편의시설과 프로그램을 운영함",,"여성 패션의류, 잡화 (액세사리, 가방), 패션 쥬얼리 등",150000,sqft (ft²),"패션&섬유, 쥬얼리","★본 전시회는 주최 측 사정에 따라 개최 일정 또는 개최 여부가 변경될 수 있으므로, 참가 및 참관 전 반드시 주최 측 또는 전시장에 사전 문의해 주시기 바랍니다. 

또한 주최 측에서는 전년도 참가 성과 관련 정보를 별도로 공개하지 않고 있으며, 차년도 개최 일정 역시 현재까지 확정 및 공지되지 않은 상태입니다.",N,2027-01-01,1
12,2027,북미지역본부 애틀랜타무역관,N,The Premiere Orlando & Premiere DAY SPA Show 2027,2027 미국 올랜도 프리미어 & 프리미어 스파 전시회,,2027-01-01,2027-01-31,Y,,,미국,올랜도,오프라인,Orange County Convention Center,"Premiere Orlando는 북미 최대 규모의 미용·뷰티 전문 전시회로, 헤어·네일·스킨케어·화장품 등 전 분야를 아우르며 최신 트렌드와 신제품을 선보이는 글로벌 행사 입니다.",,"뷰티 스킨 케어, 헤어 케어, 네일 케어, 세면도구, 향수, 유기농 미용 제품",3740349,sqft (ft²),"뷰티&미용용품, 문화콘텐츠&미디어","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으니 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.

*전년도 참가성과 추후 업데이트 예정",N,2027-01-01,1
16,2027,북미지역본부 워싱턴DC무역관,N,Modern Day Marine 2027,2027 미국 워싱턴 해병 기술 전시회 [Modern Day Marine],Modern Day Marine,2027-01-01,2027-01-31,Y,,,미국,워싱턴,오프라인,Walter E Washington Convention Center,"해병 기술 전시회는 미국 해병대와 관련된 주요 방위 산업 박람회로, 해병대의 최신 장비와 기술을 소개하는 중요한 행사입니다. 이 박람회는 해병대의 작전 능력 향상과 산업계와의 협력을 강화하는 데 중점을 두고 있습니다.",,"해병대용 전술 차량 및 장비, 무기 시스템 및 탄약, 통신 및 정보 시스템, 의료 및 생존 장비, 훈련 및 시뮬레이션 기술, 물류 및 지원 장비",84000,sqft (ft²),"방위산업, 항공&우주","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으므로 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.



* 현재 공개된 정보는 행사 개요와 전반적인 규모에 대한 일반적인 자료에 한정되며, 참가국 수, 구체적인 전체 참가업체 수, 참관객 수, 주요 참가국 등 세부 통계는 제공되지 않은 상태입니다. 이에 따라 관련 성과 수치를 보고서에 기재할 수 없음을 양해 부탁드립니다.",N,2027-01-01,1
18,2027,북미지역본부 애틀랜타무역관,N,PGA Show 2027,2027 미국 올랜도 골프용품 전시회,PGA Show 2027,2027-01-01,2027-01-31,Y,,,미국,올랜도,오프라인,Orange County Convention Center,"골프 용품, 의류, 클럽, 훈련 기기 및 교육 서비스 분야의 기업들이 부스로 참가하는 세계 최대 규모이자 독보적인 명성을 자랑하는 골프 전시회. 골프존, 볼빅, 가민, 보이스캐디 등 다수의 국내 골프 브랜드들도 참가하고 있음.",골프 산업 전 분야를 아우르는 세계 최대 규모 전시회,"골프 용품, 의류, 클럽, 훈련 기기 등",3740349,sqft (ft²),"건강&스포츠, 문화콘텐츠&미디어","★ 본 전시회는 주최측의 사정에 따라 개최일자 또는 개최 여부가 변동될 수 있으니 전시회 참가 및 참관 전 반드시 주최자 또는 전시장으로 사전문의 바랍니다.

*전년도 참가성과 추후 업데이트 예정",N,2027-01-01,1
