No,전시회명(영문),전시회명(국문),회의시작일,회의종료일,전시시작일,전시종료일,일자확정여부,개최주기,2027개최여부,도시,주,전시장,산업분야,규모,규모기준연도,한국관모집상태,한국관운영기관,출처구분,검증등급,공식URL,확인일자,비고
1,"2027 AFA Air, Space & Cyber Conference",2027 미국 메릴랜드 우주 항공 전시회 [AFA],,,,,미정,⚠ 미확인,⚠ 미확인,메릴랜드,,Gaylord National Convention Center,"방위산업, 항공&우주, 정보통신기술(IT)&S/W",62410,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
2,2027 CPNA- COSMOPROF NORTH AMERICA,2027 미국 마이애미 코스모프로프 뷰티 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,마이애미,,Miami Beach Convention Center,"뷰티&미용용품, 패션&섬유",2000000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
3,2027 Cocntract Pharma Conference,2027 미국 뉴저지 의약품 전시회 [Cocntract Pharma Conference],,,,,미정,⚠ 미확인,⚠ 미확인,,,미정,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
4,2027 GlobalChem,2027 미국 워싱턴 D.C 화학규제 전시회 [GlobalChem ],,,,,미정,⚠ 미확인,⚠ 미확인,워싱턴,,Charles E. Smith Center,화학&나노,50000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-02-01~2027-02-28
5,2027 World Drug Safety Congress Americas,2027 미국 보스턴 의약품 전시회 [World Drug Safety Congress Americas],,,,,미정,⚠ 미확인,⚠ 미확인,보스턴,,Boston Convention & Exhibition Center,"의료&제약, 바이오",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
6,AI+ Expo (SCSP),2027 미국 워싱턴DC AI 엑스포,,,,,미정,연1회,개최,워싱턴 D.C.,DC,⚠ 미확인,AI·국가안보,,,⚠ 미확인,⚠ 미확인,외부,⚠,expo.scsp.ai,2026-08-11,⚠ 날짜 상충: 5/7-9 vs 5/24-25 병기
7,Boutique Design New York,2027 미국 뉴욕 부띠끄 디자인 전시회 [BDNY],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"건축&기자재, 기타, 생활용품&가구",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-11-01~2027-11-30
8,CONEXPO-CON/AGG,2027 미국 라스베가스 건설기계 전시회,,,,,해당없음,3년주기,❌ 미개최,라스베가스,NV,Las Vegas Convention Center,건설기계,,,⚠ 미확인,⚠ 미확인,외부,✅,conexpoconagg.com,2026-08-11,다음 2029/3/13-17
9,Coterie New York,2027 미국 뉴욕 춘계 패션 코테리 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"패션&섬유, 쥬얼리",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-01-01~2027-01-31
10,Coterie New York,2027 미국 뉴욕 추계 패션 코테리 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,"쥬얼리, 패션&섬유",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-09-01~2027-09-30
11,Curve New York,2027 미국 뉴욕 수영복 및 란제리 전시회 [CurveNY],,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,패션&섬유,150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-08-01~2027-08-31
12,Fall Westchester County Home Show,2027 미국 뉴욕 주택 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Westchester County Center,"기계&장비, 환경&폐기물, 전력&에너지, 건축&기자재, 생활용품&가구",150000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-10-01~2027-10-31
13,IECSC NEW YORK,2027 미국 뉴욕 IECSC 국제 미용&스파 전시회,,,,,미정,⚠ 미확인,⚠ 미확인,뉴욕,,Jacob K. Javits Convention Center,뷰티&미용용품,42000,⚠ 미표기,⚠ 미게시(GEP 공란),⚠ 미확인,GEP,⚠,,,GEP월단위:2027-03-01~2027-03-31
